Name, Memory_Usage, Network_Input, Network_Output, CPU_Usage
game1, 26.48MiB, 4.21kB, 1.92kB, 0.19%
game2, 24.52MiB, 4.24kB, 1.89kB, 0.17%
game3, 26.5MiB, 4.28kB, 1.92kB, 0.20%
zookeeper-server, 141.5MiB, 6.73kB, 4.23kB, 1.23%
